Country,Year,GDP_Growth,CO2_Emission_Metrics_per_capita,Electricity_access,Urban_population,Population_growth,Urban_population_growth_annual,Live_stock_production,Forest_area,Renewable_energy_use,Energy_use_kg_of_oil_per_capita,Population_total
Bermuda,2008,-1.9,9.9,100,100,0.6,0.6,102.8,18.5,2.3,..,"65,273.00"
Bhutan,2008,4.8,0.6,67.4,33.2,1,3.3,99.2,70.5,92,..,"6,71,613.00"
Bolivia,2008,6.1,1.4,84.7,65.5,1.7,2.4,87.2,49.4,20.5,579.5,"97,21,454.00"
Bosnia and Herzegovina,2008,5.4,5.4,100,44.9,-0.2,0.5,106.1,41.1,14.3,"1,587.90","37,54,271.00"
Botswana,2008,6.2,2.4,43.1,59.4,2.1,4.7,111,29.4,27.2,"1,101.20","19,15,639.00"
Brazil,2008,5.1,2,98.5,83.7,1,1.4,87.5,62.2,47.3,"1,294.50","19,20,30,362.00"
British Virgin Islands,2008,..,7.3,96.8,44.2,4.1,4.8,96.1,24.3,0.8,..,"26,097.00"
Brunei Darussalam,2008,-1.9,24,100,74.3,1.2,1.7,86.3,72.8,0,"9,337.00","3,79,421.00"
Bulgaria,2008,6.1,6.8,100,71.6,-0.7,-0.2,112.5,33.7,10,"2,648.90","74,92,561.00"
Burkina Faso,2008,5.8,0.1,12.5,23.5,3,5.3,97.9,24.9,82.9,..,"1,46,89,725.00"
Burundi,2008,4.9,0,4.8,10.1,3.3,5.8,74.2,7.6,96.8,..,"81,26,102.00"
Cabo Verde,2008,6.7,1,72.9,60.2,1.2,2.6,140.6,10.5,27.6,..,"4,80,842.00"
Cambodia,2008,6.7,0.3,26.4,19.6,1.5,2.3,101.4,60.2,68,251.3,"1,38,83,834.00"
Cameroon,2008,3.5,0.3,50.5,50.4,2.8,4,101.5,44.5,80.7,332.2,"1,92,52,666.00"
Canada,2008,1,16.9,100,80.6,1.1,1.3,103.3,38.8,22.5,"8,194.90","3,32,47,118.00"
Cayman Islands,2008,-0.4,10.8,100,100,2.9,2.9,97,53.2,0,..,"53,836.00"
Central African Republic,2008,2.1,0.1,9.7,38.5,1.8,2.2,82.6,36.4,80.6,..,"42,73,366.00"
Chad,2008,3.1,0.1,5.8,21.9,3.3,3.5,65.3,4.5,90.1,..,"1,11,83,588.00"
Channel Islands,2008,..,..,..,30.9,1.2,1.4,..,5,..,..,"1,56,433.00"
Chile,2008,3.5,4.3,98.3,87,1.1,1.1,100.7,22.3,30.8,"1,815.20","1,67,08,258.00"
China,2008,9.7,5.7,98.9,46.5,0.5,3.4,88.2,20.8,14.6,"1,672.90","1,32,46,55,000.00"
Colombia,2008,3.3,1.5,96.8,77.2,1.2,1.7,94.4,55.2,29,669.2,"4,42,54,972.00"
Comoros,2008,4,0.2,57.9,27.9,2.4,2.5,95.4,20.5,50.9,..,"6,57,229.00"
"Congo, Dem. Rep.",2008,6.2,0,11.5,39,3.3,4.6,93.6,61.1,97,307.7,"6,04,11,195.00"
"Congo, Rep.",2008,6.3,0.3,38.1,62.3,3.4,4.2,73.7,64.7,57.2,336.1,"40,11,486.00"
Costa Rica,2008,4.6,1.8,99.3,69.4,1.3,3.1,91,56.2,43.1,"1,027.50","44,63,125.00"
Cote d'Ivoire,2008,2.5,0.3,55.8,46.5,2.2,3.1,82.9,13.2,74.3,521.9,"1,96,05,569.00"
Croatia,2008,1.9,5.2,100,54.8,0,0.3,85.6,34.2,24.2,"2,280.10","43,09,705.00"
Cuba,2008,4.1,2.5,97.4,76.4,-0.1,0,90.4,26.6,18.7,958.2,"1,12,36,971.00"
Curacao,2008,2.2,..,100,90.2,1.3,1.1,..,..,0.2,"15,326.50","1,45,880.00"
Cyprus,2008,3.6,7.9,100,67.8,1.7,1.5,112.8,18.7,5.5,"2,388.60","10,81,563.00"
Czech Republic,2008,2.7,11.2,100,73.4,0.8,0.7,106.7,34.3,9,"4,330.70","1,03,84,603.00"
Denmark,2008,-0.5,8.6,100,86.5,0.6,0.8,100.5,13.8,18.5,"3,501.50","54,93,621.00"
Djibouti,2008,..,0.6,56,76.9,1.3,1.4,124.8,0.2,33.1,..,"8,16,358.00"
Dominica,2008,7.1,2.3,90.9,67.5,0,0.5,95.7,63.8,7.5,..,"70,827.00"
Dominican Republic,2008,3.2,2.2,97.6,71.3,1.3,3.1,99.9,42.5,17.9,772,"94,58,075.00"
Ecuador,2008,6.4,2.3,97.2,62.3,1.7,2,101.5,53,15.1,672.5,"1,45,35,739.00"
"Egypt, Arab Rep.",2008,7.2,2.5,99.8,43.1,1.8,1.7,95.7,0.1,6,907.6,"7,96,36,079.00"
El Salvador,2008,2.6,1.1,91,63.7,0.4,1.9,96.3,30.8,36.9,733.5,"61,31,764.00"
Equatorial Guinea,2008,17.8,7.5,..,62.7,4.7,7.3,103.3,90.9,6.3,..,"8,60,840.00"
Eritrea,2008,-9.8,0.1,37.7,34,2.2,5.1,87.2,10.8,81.9,220.2,"30,62,779.00"
Estonia,2008,-5.1,12.7,100,68.4,-0.3,-0.5,92.1,54.6,20.2,"4,105.40","13,37,090.00"
Eswatini,2008,0.8,1.1,42.8,22,0.7,1.7,95.5,28.1,63.9,..,"10,49,945.00"
Ethiopia,2008,10.8,0.1,31.5,16.5,2.7,5.2,94.6,15.9,94.5,486.8,"8,29,16,235.00"
Faroe Islands,2008,..,13.2,100,40.5,0,0.5,93.7,0.1,4.5,..,"47,820.00"
Fiji,2008,1,1.1,86.2,51.1,1.1,2.1,98.9,58,45.5,..,"8,45,361.00"
Finland,2008,0.8,10.7,100,83.3,0.5,0.6,98.2,73.3,34.7,"6,669.20","53,13,399.00"
France,2008,0.3,5.7,100,77.9,0.6,0.9,99.4,29.6,10.5,"4,110.60","6,43,74,984.00"
French Polynesia,2008,..,3,100,59.2,0.5,1.5,100.6,40.8,9.3,..,"2,64,061.00"
Gabon,2008,-3.3,2.8,82.7,84.4,3.1,3.8,88.8,91.8,87.4,"2,723.30","15,18,540.00"
"Gambia, The",2008,6.3,0.2,40.9,54.2,3,4.3,92.4,30.8,55.7,..,"16,89,285.00"
Georgia,2008,2.4,1.4,99.2,54.8,-0.3,0.4,103.1,40.4,36.3,780.7,"38,48,449.00"
Germany,2008,1,9.5,100,76.6,-0.2,0.1,93.8,32.7,8.6,"4,036.80","8,21,10,097.00"
Ghana,2008,9.1,0.4,60.5,49.4,2.6,4,81.2,35.7,55.9,266.1,"2,35,63,825.00"
Gibraltar,2008,..,12.7,100,100,0.1,0.1,..,0,0,"4,759.40","33,559.00"
Greece,2008,-0.3,8.7,100,75.6,0.3,0.8,110.4,29.8,8.1,"2,745.50","1,10,77,841.00"
Greenland,2008,6.2,11.7,100,83.8,-0.4,0,110.2,0,6.7,..,"56,328.00"
Grenada,2008,0.9,2.4,90,35.9,0.3,0.2,102.7,52.1,10.7,..,"1,05,456.00"
Guam,2008,1.7,..,100,93.9,0.1,0.2,83.5,44.4,0,..,"1,59,036.00"
Guatemala,2008,3.3,0.8,81.8,47.8,1.9,2.6,65.5,35.6,60.8,593.7,"1,37,39,299.00"
Guinea,2008,4.1,0.2,25,33.1,2.3,3.2,66.5,27,80.1,..,"97,38,792.00"
Guinea-Bissau,2008,3.2,0.2,9.3,39.3,2.5,3.5,88.1,74,88.4,..,"14,46,936.00"
Guyana,2008,1.8,2.1,79.1,27.1,0,-0.8,71,94.1,34.5,..,"7,46,817.00"
Haiti,2008,2.5,0.2,36.4,45.6,1.6,3.7,97,13.7,75.8,385.8,"96,46,580.00"
Honduras,2008,4.2,1.1,76.4,50.6,2.2,3.5,103.7,59.1,51.2,582.8,"79,80,955.00"
"Hong Kong SAR, China",2008,2.1,6.2,100,100,0.6,0.6,94.2,..,0.7,"2,006.30","69,57,800.00"
Hungary,2008,1.1,5.5,100,67.9,-0.2,0.6,97.2,22.6,6.8,"2,636.60","1,00,38,188.00"
Iceland,2008,2,6.7,100,93.4,1.9,2,88.7,0.4,73.5,"16,353.80","3,17,414.00"
India,2008,3.1,1.3,72.3,30.2,1.5,2.6,75.6,23.2,43.6,501.6,"1,20,06,69,765.00"
Indonesia,2008,6,1.8,92.7,48.3,1.3,3,71.9,55.2,40.2,793.1,"23,54,69,762.00"
"Iran, Islamic Rep.",2008,0.3,7.5,98.7,69.5,1.1,2,87.2,6.4,0.7,"2,837.20","7,21,20,604.00"
Iraq,2008,8.2,3.3,97.9,68.9,1.7,1.8,94.1,1.9,1.2,968.4,"2,83,85,746.00"
Ireland,2008,-4.5,9.6,100,61.1,2,2.4,85.6,10.2,4.2,"3,293.90","44,89,544.00"
Isle of Man,2008,4.9,..,100,52,1.3,1.4,..,6.1,3.4,..,"83,508.00"
Israel,2008,3,9.3,100,91.7,1.8,1.8,89.6,7.1,8.8,"3,129.10","73,08,800.00"
Italy,2008,-1,7.6,100,68.1,0.7,0.8,114.6,30.2,10.8,"3,087.60","5,88,26,731.00"
Jamaica,2008,-0.8,3.6,92,53.4,0.5,0.8,91.9,50.9,10.8,"1,265.60","27,81,876.00"
Japan,2008,-1.1,9.5,100,89.1,0,1.1,92.7,68.4,4,"3,858.40","12,80,63,000.00"
Jordan,2008,7.2,3.3,98.9,83.7,4.7,6.3,87.3,1.1,2.7,"1,078.20","65,56,478.00"
Kazakhstan,2008,3.3,14.9,99.4,56.7,1.2,2,90.4,1.1,1.2,"4,457.20","1,56,74,000.00"
Kenya,2008,0.2,0.3,32.2,22.8,2.8,4.4,91.5,6.5,80.5,443.5,"3,97,91,981.00"
Kiribati,2008,-2.1,0.7,69.8,45.7,2.3,4.1,93,1.5,2.7,..,"98,761.00"
"Korea, Dem. People’s Rep.",2008,..,2.9,..,60,0.5,0.6,92.7,52.2,10.2,829.7,"2,43,10,142.00"
"Korea, Rep.",2008,3,10.3,100,81.7,0.8,0.9,82.3,66,1.1,"4,629.80","4,90,54,708.00"
Kosovo,2008,6.3,4.3,..,..,0.8,..,..,..,20.6,"1,267.70","17,47,383.00"
Kuwait,2008,2.5,31.1,100,100,5.9,5.9,44.8,0.3,0,"10,810.80","26,56,009.00"
Kyrgyz Republic,2008,8.4,1.4,99.4,35.3,1,0.9,84.3,6.4,22,593.9,"53,18,700.00"
Lao PDR,2008,7.8,0.4,66,28.9,1.7,3.7,104.1,73.8,69.1,..,"60,46,620.00"
Latvia,2008,-3.3,3.6,100,67.8,-1.1,-1.1,91.3,53.8,33.7,"2,106.40","21,77,322.00"
Lebanon,2008,9.1,3.6,99.9,87,-0.1,0.1,133,13.4,5.7,"1,139.80","47,64,741.00"
Lesotho,2008,6.7,1.1,15.9,23.8,0,2.1,98.5,1.1,55,..,"19,87,129.00"
Liberia,2008,7.1,0.2,1.2,47.1,4.1,4.9,77.4,82.9,91.5,..,"36,07,860.00"
Libya,2008,2.7,9.2,84.9,77.6,1.4,1.6,106.6,0.1,1.9,"2,937.60","60,58,748.00"
Liechtenstein,2008,1.8,2,100,14.6,0.7,0.3,100.4,41.9,54.2,..,"35,471.00"
Lithuania,2008,2.6,4.7,100,66.8,-1,-0.9,102.3,34.1,18.3,"2,975.90","31,98,231.00"
Luxembourg,2008,-1.3,22.4,100,87.8,1.8,2.2,82.7,36.3,4,"8,612.20","4,88,650.00"
"Macao SAR, China",2008,3.4,2.2,100,100,2.1,2.1,85.9,..,4.8,..,"5,15,239.00"
Madagascar,2008,6.7,0.1,16.8,30.7,2.9,4.9,88.7,21.8,82.3,..,"1,99,96,473.00"
Malawi,2008,7.6,0.1,7.9,15.3,2.9,3.4,43.9,29.1,81.5,..,"1,37,27,890.00"
Malaysia,2008,4.8,7.5,..,69.2,1.9,3.2,69.3,58.1,4.7,"2,777.70","2,72,36,006.00"
Maldives,2008,9.5,2.5,93.7,35.6,2.4,3.6,92.9,2.7,1.4,..,"3,43,452.00"
Mali,2008,4.8,0.1,24.1,34.4,3.3,5.7,89.2,10.9,76.2,..,"1,41,13,577.00"
Malta,2008,3.8,6.3,100,93.9,0.7,0.7,123.1,1.1,0.3,"2,043.50","4,09,379.00"
Marshall Islands,2008,-6.8,2.3,80.3,72.6,0.2,0.9,..,52.2,14.8,..,"56,174.00"
Mauritania,2008,-0.3,0.6,30,44.8,2.9,4.9,80.9,0.4,35.8,..,"32,96,238.00"
Mauritius,2008,5.4,3,98,41.8,0.4,0.1,90.8,19.3,12.8,"1,027.20","12,44,121.00"
Mexico,2008,1.1,4.5,98.9,77.2,1.5,1.9,89.8,34.6,9.8,"1,621.30","11,08,15,271.00"
"Micronesia, Fed. Sts.",2008,-2.4,1.1,60.7,22.3,-0.9,-0.9,80.8,91.5,1.4,..,"1,03,543.00"
Moldova,2008,7.8,1.7,100,42.7,-0.2,-0.3,84.3,11.2,4.9,"1,166.30","28,67,964.00"
Monaco,2008,0.7,..,100,100,1,1,..,0,..,..,"34,872.00"
Mongolia,2008,8.9,4.6,79.1,65.6,1.5,3,70.4,9.1,4.6,"1,361.70","26,31,898.00"
Montenegro,2008,7.2,4.2,100,63.5,0.2,0.7,100.2,58.5,38.8,"2,068.00","6,16,969.00"
Morocco,2008,5.9,1.7,85.3,56.9,1.2,2.2,73.6,12.6,15.1,512.6,"3,15,36,811.00"
Mozambique,2008,7.3,0.1,13.6,30.8,2.7,4.3,84.6,50.1,92.4,417.2,"2,22,76,596.00"
Myanmar,2008,10.3,0.2,50.5,28.5,0.6,1.3,52.9,49.2,85.6,302.6,"4,99,29,642.00"
Namibia,2008,2.6,1.6,42.5,39.6,1.8,4.4,101.7,9.1,27,712.3,"20,43,394.00"
Nauru,2008,22.2,4.4,99.2,100,0.5,0.5,98.3,0,0.1,..,"9,891.00"
Nepal,2008,6.1,0.1,57.6,16.1,1.1,3.1,79.5,41.3,90.5,361.3,"2,66,66,576.00"
Netherlands,2008,2.2,10.8,100,85.4,0.4,1.4,84.4,11,4,"4,848.00","1,64,45,593.00"
New Caledonia,2008,..,11.8,100,66,1.5,2.5,85.9,45.9,7.4,..,"2,42,750.00"
New Zealand,2008,-1,8,100,86.3,0.8,0.8,85,37.4,28.2,"4,082.70","42,59,800.00"
Nicaragua,2008,3.4,0.8,77.8,56.5,1.4,1.7,85.6,36.8,52.6,514.2,"56,67,432.00"
Niger,2008,7.7,0.1,11.7,16.2,3.8,3.7,81.6,1,86.1,127.7,"1,52,50,908.00"
Nigeria,2008,6.8,0.6,50.3,41.7,2.6,4.8,96,25.9,86.4,753.2,"15,02,69,623.00"
North Macedonia,2008,5.5,4.5,99.2,57.2,0.1,-0.1,107.3,38,15.6,"1,461.10","20,67,313.00"
Northern Mariana Islands,2008,-11.1,..,100,90.8,-1.1,-1,..,66.6,0,..,"54,625.00"
Norway,2008,0.5,11.7,100,78.5,1.2,1.6,98,33.1,58.5,"6,752.70","47,68,212.00"
Oman,2008,8.2,15.5,100,74.1,3.5,4.2,74.2,0,0,"5,690.20","27,50,963.00"
Pakistan,2008,1.7,0.9,70.4,34.6,2.3,2.9,78.6,5.4,46,481,"17,16,48,986.00"
Palau,2008,-5.8,11,98.4,73.4,-2.4,-1.4,..,87.7,0,..,"18,704.00"
Panama,2008,9.9,2.1,88.2,64.6,1.8,2.2,77.7,58.5,30.5,869,"35,16,204.00"
Papua New Guinea,2008,-0.3,0.7,25.2,13.1,2.4,2.3,93.5,79.9,56.9,..,"69,76,201.00"
Paraguay,2008,6.4,0.7,96.7,58.6,1.4,1.9,70,51,66.6,728.8,"60,81,296.00"
Peru,2008,9.1,1.4,84.7,76.1,0.8,1.1,73.8,58,25.7,526.4,"2,85,62,317.00"
Philippines,2008,4.3,0.9,83.3,45.5,1.7,1.5,84.4,23.3,31.7,441.2,"9,09,01,965.00"
Poland,2008,4.2,8.3,100,61.1,0,-0.2,90.9,30.3,8,"2,564.80","3,81,25,759.00"
Portugal,2008,0.3,5.3,100,59.4,0.1,1.2,105.2,35.6,23.2,"2,337.30","1,05,58,177.00"
Puerto Rico,2008,-1.8,..,100,93.9,-0.6,-0.6,115.3,54,0.7,..,"37,60,866.00"
Qatar,2008,17.7,45.1,100,98.1,16.5,16.7,53.2,0,0,"15,832.10","14,36,665.00"
Romania,2008,9.3,4.7,100,53.6,-1.7,-1.4,110,28.2,20.4,"1,929.00","2,05,37,875.00"
Russian Federation,2008,5.2,12,100,73.6,0,0,85.3,49.7,3.3,"4,823.10","14,27,42,366.00"
Rwanda,2008,11.2,0.1,6,16.9,2.7,2.7,75.7,10.9,90.6,..,"95,24,534.00"
Samoa,2008,1,1,98.1,20.5,0.7,-0.4,83.5,59.2,46,..,"1,83,263.00"
San Marino,2008,-0.5,..,100,95.3,1.2,1.5,..,16.7,..,..,"30,434.00"
Sao Tome and Principe,2008,8.2,0.5,58.5,62.7,2.9,4.7,98.7,60.6,46,..,"1,71,120.00"
Saudi Arabia,2008,6.2,16.6,100,81.6,2.8,3,84.4,0.5,0,"6,046.70","2,58,88,541.00"
Senegal,2008,4.1,0.4,49.8,42.9,2.7,3.6,71.9,44.4,40.5,261.1,"1,20,04,701.00"
Serbia,2008,5.7,7,100,54.6,-0.4,0,98,30.4,15.6,"2,290.00","73,50,222.00"
Seychelles,2008,-2.1,8,96.5,52.6,2.2,2.9,125.8,73.3,0.4,..,"86,956.00"
Sierra Leone,2008,5.4,0.1,12.1,38.1,2.4,3.4,67,38.4,85.3,..,"61,33,603.00"
Singapore,2008,1.9,7.5,100,100,5.3,5.3,72.7,25.1,0.5,"5,094.10","48,39,396.00"
Sint Maarten (Dutch part),2008,..,..,100,100,0.5,0.5,..,..,..,..,"33,964.00"
Slovak Republic,2008,5.6,7,100,55.1,0.1,-0.2,142.4,39.8,7.6,"3,405.70","53,79,233.00"
Slovenia,2008,3.5,8.6,100,52.2,0.2,0.6,113.6,61.8,13.9,"3,836.60","20,21,316.00"
Solomon Islands,2008,5.8,0.4,28.1,19.1,2.3,4.6,97.3,90.5,64.3,..,"5,03,360.00"
Somalia,2008,..,0.1,17.8,36,2.8,7.4,98.6,11,93.4,..,"1,13,97,188.00"
South Africa,2008,3.2,10,81.9,61.2,1.3,2.2,80.3,14.4,16,"2,950.20","4,97,79,471.00"
South Sudan,2008,..,..,..,17.6,4.9,5.7,..,..,..,..,"87,36,939.00"
Spain,2008,0.9,7.2,100,78,1.6,1.9,94.2,36.6,9.7,"3,026.30","4,59,54,106.00"
Sri Lanka,2008,6,0.6,82.2,18.3,0.7,0.6,67.5,33.7,61.6,456.1,"1,99,83,984.00"
St. Kitts and Nevis,2008,6.1,4.5,97.1,31.6,0.9,0.4,155.1,42.3,0,..,"48,178.00"
St. Lucia,2008,4.9,2.3,93.2,20.1,1.4,-3.2,79.1,34.1,2.4,..,"1,70,011.00"
St. Martin (French part),2008,..,..,..,..,2,..,..,18.4,..,..,"36,885.00"
St. Vincent and the Grenadines,2008,1.6,2.1,90.1,48.2,-0.1,0.7,110.5,73.2,5.5,..,"1,08,393.00"
Sudan,2008,7.8,..,38.9,32.9,2.1,2.3,102.3,..,63.7,..,"3,30,60,837.00"
Suriname,2008,4.1,3.8,94.5,66.5,1.2,1.1,91.2,98.1,28.5,"1,161.00","5,17,122.00"
Sweden,2008,-0.5,5.3,100,84.7,0.8,1,98.9,68.5,44.9,"5,380.00","92,19,637.00"
Switzerland,2008,2.2,5.3,100,73.6,1.3,1.3,97.1,31.1,20.2,"3,499.80","76,47,675.00"
Syrian Arab Republic,2008,..,3.3,91.1,54.9,3.9,4.5,120.6,2.6,1.3,"1,117.90","2,06,64,038.00"
Tajikistan,2008,7.9,0.4,98.5,26.5,2.1,2.1,63.7,2.9,54.6,340.3,"72,09,930.00"
Tanzania,2008,5.7,0.1,11.5,26.8,2.8,5.3,75.2,57.2,91,456.8,"4,18,53,944.00"
Thailand,2008,1.7,3.5,95.1,41.2,0.5,3.7,81.5,38.9,22.5,"1,624.80","6,65,30,984.00"
Timor-Leste,2008,11.3,0.2,42.9,27,1.8,3.1,86.4,63.1,39.6,..,"10,55,431.00"
Togo,2008,4.1,0.3,31.8,36.6,2.7,4,79.4,22.9,76.5,421.1,"60,83,420.00"
Tonga,2008,4.8,1.2,90.8,23.3,0.8,1,94.8,12.4,2,..,"1,03,379.00"
Trinidad and Tobago,2008,3.4,33.8,100,54.4,0.5,0.1,96.1,45.5,0.4,"14,127.20","13,14,443.00"
Tunisia,2008,4.2,2.4,99.4,66.1,1.1,1.5,80.9,4.4,14.6,905.2,"1,04,14,433.00"
Turkey,2008,0.8,4,..,69.7,1.2,2.1,61.6,27.2,12.4,"1,401.80","7,04,18,604.00"
Turkmenistan,2008,14.7,11.5,99.7,47.9,1.3,1.9,96.1,8.8,0.1,"4,587.50","49,35,767.00"
Turks and Caicos Islands,2008,..,5.5,97,89.3,2.7,3.2,..,11.1,0.5,..,"31,202.00"
Tuvalu,2008,8,1.1,96.4,52.8,0.9,2.9,94,33.3,0,..,"10,314.00"
Uganda,2008,8.7,0.1,14.9,18.4,3.2,5.8,83.5,14.2,92.3,..,"3,04,31,736.00"
Ukraine,2008,2.3,6.7,100,68.3,-0.5,-0.3,97.9,16.5,2.7,"2,910.70","4,62,58,189.00"
United Arab Emirates,2008,3.2,22.2,100,83.4,13.9,14.3,65.1,4.4,0.1,"8,367.20","70,89,487.00"
United Kingdom,2008,-0.3,8.4,100,80.8,0.8,1.1,91.5,12.6,2.8,"3,362.00","6,18,06,995.00"
United States,2008,-0.1,18.5,100,80.4,0.9,1.2,97,33.6,6.8,"7,488.10","30,40,93,966.00"
Uruguay,2008,7.2,2.5,98.8,94,0.3,0.5,97.8,9.5,43.3,"1,243.40","33,40,221.00"
Uzbekistan,2008,9,4.5,99.7,50,1.6,2.6,62,7.7,2.3,"1,823.30","2,73,02,800.00"
Vanuatu,2008,6.4,0.4,36.4,24,2.4,3.6,101.1,36.3,47.6,..,"2,24,704.00"
"Venezuela, RB",2008,5.3,6.5,98.8,88,1.4,1.4,98.1,54.2,13.4,"2,347.90","2,76,35,832.00"
Vietnam,2008,5.7,1.4,94,29.1,1,3.1,77.7,42.1,39.5,563.9,"8,62,43,413.00"
Virgin Islands (U.S.),2008,0.9,..,100,94.2,0.1,0.3,102.2,53.8,0,..,"1,08,399.00"
West Bank and Gaza,2008,7.4,0.6,99.2,73.7,2.8,3,89.9,1.5,20.1,..,"35,91,977.00"
"Yemen, Rep.",2008,3.6,1,59.6,30.6,2.8,4.7,65.1,1,0.9,332.4,"2,18,92,146.00"
Zambia,2008,7.8,0.2,24.4,38.4,2.7,4,63.1,62.9,92.2,603.2,"1,28,48,530.00"
Zimbabwe,2008,-17.7,0.6,36.4,33.6,1,0.5,95,46.5,82,724.3,"1,23,79,549.00"
Arab World,2008,5.8,4.4,83.6,55.6,2.5,3.3,22.9,1.7,5.2,"1,678.10","33,83,95,961.00"
Caribbean small states,2008,1.3,9.3,92.9,50.4,0.7,0.7,0.1,90.6,8.7,"4,918.30","68,78,970.00"
Central Europe and the Baltics,2008,3.9,7.2,100,61.9,-0.4,-0.2,0.1,33.5,11.8,"2,706.40","10,50,01,883.00"
Early-demographic dividend,2008,3.5,2.1,75.3,41.2,1.6,2.5,0.3,23.8,27.3,826.5,"2,82,06,36,594.00"
East Asia & Pacific,2008,3.5,5.1,95.3,49.9,0.7,2.9,0.2,26.6,14.8,"1,727.50","2,17,71,19,142.00"
East Asia & Pacific (excluding high income),2008,8.4,4.5,94.7,45.4,0.7,3.2,0.2,29.9,18.2,"1,414.10","1,93,80,57,249.00"
East Asia & Pacific (IDA & IBRD countries),2008,8.4,4.5,94.7,45.2,0.7,3.3,0.2,29.7,18.3,"1,421.60","1,91,37,18,210.00"
Euro area,2008,0.4,7.9,100,74.8,0.5,0.8,0.1,37.7,10.9,"3,730.80","33,42,74,725.00"
Europe & Central Asia,2008,1,7.9,99.9,70.4,0.4,0.7,0.1,38.2,9.4,"3,382.30","88,08,29,122.00"
Europe & Central Asia (excluding high income),2008,4.1,8,99.9,66,0.4,0.7,0.2,39.3,4.8,"3,134.60","37,37,51,805.00"
Europe & Central Asia (IDA & IBRD countries),2008,4.3,7.8,99.9,64.8,0.2,0.5,0.2,39.1,5.7,"3,019.80","43,67,25,144.00"
European Union,2008,0.6,7.7,100,72.6,0.3,0.6,0.1,38.9,12.1,"3,533.80","43,98,76,674.00"
Fragile and conflict affected situations,2008,5.8,1,45.3,40.3,2.5,3.6,18.8,28.5,59.2,699.5,"61,67,86,947.00"
Heavily indebted poor countries (HIPC),2008,6,0.2,28,31.6,2.8,4.2,20.9,31.1,81.9,411.4,"59,05,90,368.00"
High income,2008,0.4,11.8,99.9,78.9,0.8,1.2,0.1,29,8.8,"4,969.20","1,16,34,65,944.00"
IBRD only,2008,5.5,3.9,89.4,48.7,1,2.4,0.2,34.3,18.6,"1,345.30","4,34,00,24,679.00"
IDA & IBRD total,2008,5.5,3.1,78.8,44.9,1.3,2.6,1.2,33,24,"1,173.50","5,64,36,01,079.00"
IDA blend,2008,4.3,0.9,58.9,37.6,2.4,3.7,0.2,30.7,60.8,659.1,"43,44,69,613.00"
IDA only,2008,6.3,0.3,36.8,29.7,2.3,4,15.5,28.9,72.4,370.9,"86,91,06,787.00"
IDA total,2008,5.3,0.5,44.3,32.4,2.4,3.9,8.6,29.2,66.6,484.1,"1,30,35,76,400.00"
